Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
none,Ego Death (3),Ego Death,Not On Label (Ego Death (3) Self-released),"Cass, Album",,2015,7358987,Uncategorized,2015-08-17 04:04:31,
none,Good Doom,Naps,Not On Label (Good Doom Self-released),"Cass, EP, Ltd",,2016,8015315,Uncategorized,2016-05-09 04:04:15,
none,Good Doom,Hug,Not On Label (Good Doom Self-released),"Cass, EP, Ltd",,2016,8524703,Uncategorized,2016-05-15 21:08:22,
none,Hayley And The Crushers,Gidget's Revenge,Not On Label (Hayley And The Crushers Self-released),"Cass, EP, Blu",,2016,8589943,Uncategorized,2016-05-30 19:28:05,
none,Hollow Boys,Believe In Nothing,Not On Label (Hollow Boys Self-released),"Cass, Album",,2014,8524635,Uncategorized,2016-05-15 20:57:36,
none,Hollow Boys,A New Star,Not On Label (Hollow Boys Self-released),"Cass, Album",,2016,8524670,Uncategorized,2016-05-15 21:02:10,
none,Machine Girl (2),U-Void Synthesizer,Not On Label (Machine Girl (2) Self-released),"Cass, Album",,2020,15705072,Uncategorized,2021-12-27 18:43:07,
none,Marbelle (2),Marbelle,Not On Label (Marbelle Self-released),"Cass, Album",,2014,8761674,Uncategorized,2016-07-11 02:07:48,
none,Nganga (3),De Muerte,Not On Label (Nganga Self-released),"Cass, EP, dem",,2022,24795593,Uncategorized,2022-10-11 18:54:04,7/25
none,Special Interest (2),The Passion Of,Not On Label (Special Interest (2) Self-released),Cass,,2020,20969170,Uncategorized,2021-11-13 14:33:18,
none,Strange Relations (2),-CENTRISM,Not On Label (Strange Relations Self-released),"Cass, Album",,2015,7358903,Uncategorized,2015-08-16 16:44:20,
none,Tomb Mold,Aperture Of Body,Not On Label (Tomb Mold Self-released),"Cass, EP",,2022,23531549,Uncategorized,2022-07-11 10:30:12,
none,Waveless,WAVELESS,Not On Label (Waveless Self-released),"Cass, EP",,2014,8439280,Uncategorized,2016-04-25 22:24:27,
none,Well (9),Here Comes The Black Cloud,Not On Label (Well (9) Self-released),"Cass, Album, Cam",,2015,8417173,Uncategorized,2016-04-20 21:33:03,
0602498822241,Nine Inch Nails,With Teeth,"Nothing Records, Interscope Records","Cass, Album",,2005,5999819,Uncategorized,2022-04-18 15:34:17,
0694904734,Nine Inch Nails,The Fragile,"Nothing Records, Interscope Records","2xCass, Album",,1999,3137705,Uncategorized,2022-04-18 15:31:46,
490 473-4,Nine Inch Nails,The Fragile,"Nothing Records, Interscope Records","2xCass, Album",,1999,4708555,Uncategorized,2015-07-17 18:48:39,
"7 92213-4, 92213-4",Nine Inch Nails,Broken,"Nothing Records, TVT Records, Interscope Records, Nothing Records, TVT Records, Interscope Records","Cass, EP, Dol",,1992,116577,Uncategorized,2015-08-09 18:17:06,
6143-4,Suffocation,Live In North America,Nuclear Blast,"Cass, Album",,2021,21214219,Uncategorized,2022-01-23 13:23:16,
ANTI-GOTH 380,Lurker Of Chalice,Lurker Of Chalice,Nuclear War Now! Productions,Cass,,2020,15401243,Uncategorized,2022-09-07 15:45:55,
ANTI-GOTH 477,Lurker Of Chalice,Tellurian Slaked Furnace,Nuclear War Now! Productions,Cass,,2020,15484694,Uncategorized,2022-09-08 14:57:04,
"ANTI-GOTH 069, COMMAND 008",Blasphemy (2),Fallen Angel Of Doom,"Nuclear War Now! Productions, Ross Bay Cult","Cass, Album, RE, Bla",,2020,18899329,Uncategorized,2022-09-19 12:25:28,
NWR079,Phrenelith,Chimaera,Nuclear Winter Records,"Cass, Album",,2021,21334192,Uncategorized,2022-01-23 13:23:46,
NUM1286,Duster (2),Stratosphere,Numero Group,"Cass, Album",,2022,22187848,Uncategorized,2022-04-04 14:12:51,
NUM1287,Duster (2),Contemporary Movement,Numero Group,"Cass, Album",,2022,22188010,Uncategorized,2022-07-06 14:37:48,
NUM301,Duster (2),Together,Numero Group,"Cass, Album",,2022,24332384,Uncategorized,2022-08-27 21:10:45,
NUM302,Duster (2),Duster,Numero Group,"Cass, Album",,2022,24931328,Uncategorized,2022-10-28 18:35:37,
none,Mayhem,Live In Leipzig,Obscure Plasma Records,"Cass, Album, Unofficial, Pur",,2020,15774921,Uncategorized,2022-09-13 14:30:05,
OPAL009,1991 (2),"Skogen, Flickan Och Flaskan",Opal Tapes,"Cass, C40",,2012,4016929,Uncategorized,2022-03-29 18:23:13,
